Name,StatusClass,DataValue,DataTimeStamp
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
"USLAB000054",24,"335.112682586384",958.5036380555561
